tiempo,liebres,linces
1900.011805,301057.5793,44330.74379
1900.975922,469309.5269,64826.23928
1901.979425,700365.583,101951.952
1902.966989,772579.6449,358861.579
1903.989315,364589.0456,589921.4432
1904.983679,205933.651,420184.3147
1905.994582,185803.7385,196889.2806
1907.024579,217392.3924,132424.8161
1908.014101,223116.0508,88288.28829
1909.002916,252850.1327,99552.81368
1909.991731,282584.2146,81266.04866
1910.977717,408359.9904,85146.5596
1911.983179,572925.643,133350.198
1912.98777,767042.5861,200027.2011
1914.005255,523431.0397,460630.7394
1915.025079,200400.4004,512532.0973
1915.996649,115619.4238,304012.7084
1917.007932,82560.82169,167520.7817
1918.016168,152931.7361,104907.081
1919.005364,169737.1284,105089.8725
1919.992384,260420.7468,90500.82691
